TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-6,CEQ0175,EPL-AR1-Line1,D1012493,1.9,6171-ASM-00000508,21194-345,21194-345,M1000226,2022-09-30,F1000227 COVID Ag,D1012492,1.3.7902.16339

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
RKAUL,MPAGTAMA,2021-09-21T15:01:06.6248102+10:00,2021-09-21T15:01:25.9252354+10:00,4294967295,682314450,3,False,19300,False,,19300
RKAUL,MPAGTAMA,2021-09-21T15:01:17.3019538+10:00,2021-09-21T15:01:36.5615592+10:00,4294967295,682532557,2,False,19259,False,,19258
RKAUL,MPAGTAMA,2021-09-21T15:01:29.7953605+10:00,2021-09-21T15:01:38.6560877+10:00,4294967295,682823606,1,False,8860,False,,8860
RKAUL,MPAGTAMA,2021-09-21T15:01:27.8135270+10:00,2021-09-21T15:01:41.3522420+10:00,67605254,682386318,4,True,13538,True,EC:13:38:01:69:7F,1873,True,0,True,2,3026,2930,5570,4648,9540,3184,9117,2048,268,7863,7243,50,True,6687,True,2313,True,-51,EC:13:38:01:69:7F,890,True,3105,4728,4998,423,True,683,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
RKAUL,MPAGTAMA,2021-09-21T15:01:39.6855732+10:00,2021-09-21T15:01:58.9514962+10:00,4294967295,682314450,3,False,19265,False,,19265
RKAUL,MPAGTAMA,2021-09-21T15:01:54.3721126+10:00,2021-09-21T15:02:08.5773780+10:00,67605262,682532557,2,True,14205,True,EE:F2:60:96:A9:C5,1143,True,114,True,2,3089,2960,5672,4653,9782,3136,6833,2005,62,7593,7861,756,True,6785,True,2336,True,-54,F1:25:76:50:C8:84,1496,True,3048,4750,5003,273,True,681,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
RKAUL,MPAGTAMA,2021-09-21T15:01:55.0713218+10:00,2021-09-21T15:02:08.8749705+10:00,67605261,682823606,1,True,13803,True,EE:F2:60:96:A9:C5,386,True,158,True,2,3060,2921,5661,4562,6913,3238,5179,2096,781,6753,7930,1448,True,6790,True,2424,True,-53,DB:21:9E:47:DA:D9,990,True,3010,4786,5068,273,True,684,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
RKAUL,MPAGTAMA,2021-09-21T15:01:57.7665116+10:00,2021-09-21T15:02:11.0914929+10:00,67605263,682386318,4,True,13324,True,EE:F2:60:96:A9:C5,316,True,223,True,2,3031,2889,5565,4498,9581,3168,8629,2085,419,6744,8353,1029,True,6795,True,2332,True,-52,DE:26:D8:8B:24:67,1147,True,3164,4743,5055,179,True,682,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,612
RKAUL,MPAGTAMA,2021-09-21T15:02:08.3719276+10:00,2021-09-21T15:02:17.2027013+10:00,4294967295,682314450,3,False,8830,False,,8829
RKAUL,MPAGTAMA,2021-09-21T15:02:42.2014894+10:00,2021-09-21T15:02:51.8717587+10:00,4294967295,682386318,4,False,9670,False,D7:CF:7E:6F:87:C8,9663
